ID1,ID2,lat,long,alt
L1852368,McCurtain,33.7193194,-94.6345028,.
L1852366,McCurtain,33.735125,-94.6350861,.
L140513,Roosevelt,34.1233826,-103.2974167,.
L131211,Curry,34.4312134,-103.2869034,.
L674447,Valencia,34.6678408,-106.7382717,.
L2227665,Pittsburg,34.9242,-96.0528,.
L279391,Guadalupe,34.9284802,-104.6770613,.
L674091,Guadalupe,34.9532821,-104.6460629,.
L376775,Bernalillo,35.0957544,-106.6872025,.
L131197,Bernalillo,35.1042061,-106.6195526,.
L142090,Bernalillo,35.1884651,-106.6419144,.
L131447,Bernalillo,35.2155991,-106.6143036,.
L1047733,Custer,35.529572,-99.2118645,.
L142270,San_Miguel,35.8024521,-105.4547348,.
L141393,Union,36.4511948,-103.1843796,.
L140633,Osage,36.700592,-96.3296738,.
L267708,Morton,37.04931,-101.89906,.
L2366128,Greenwood,37.6533402,-96.0669851,.
L166445,Sedgwick,37.7233,-97.80453,.
L2226244,Sedgwick,37.7551181,-97.2562693,.
L506323,Anderson,38.2466739,-95.3202582,.
L769061,Osage,38.5162261,-95.7124143,.
L292418,Osage,38.517169,-95.7063133,.
L567988,Miami,38.6699645,-94.9175835,.
L162708,Johnson,38.800796,-94.6913282,.
L130839,Douglas,38.9255829,-95.2283096,.
L131196,Johnson,38.9797401,-94.7942963,.
L1527052,Johnson,39.0403196,-94.7731304,.
L148354,Wyandotte,39.1655385,-94.7822285,.
L798290,Hidalgo,32.3622416,-108.701992,.
L152522,Luna,32.476883,-107.92174,.
L152519,Luna,32.550877,-107.92229,.
L798275,Hidalgo,32.6559969,-108.9560509,.
L857157,Grant,32.6671247,-108.8031006,.
L150952,Hidalgo,32.690605,-109.0049,.
L153832,Grant,32.692745,-108.73253,.
L170384,Grant,32.737766,-108.266594,.
L1062940,Grant,32.812775,-108.60154,.
L153997,Grant,32.833521,-108.6103249,.
L151607,Grant,32.86386,-108.528145,.
L154838,Grant,33.033813,-108.16275,.
L158664,Catron,33.292805,-108.882866,.
L155565,Roosevelt,33.701557,-103.35902,.
L168291,Socorro,33.79704,-106.87829,.
L847296,Socorro,33.8591104,-106.876604,.
L152800,Roosevelt,33.97187,-103.6511,.
L157134,Socorro,34.06761,-106.90894,.
L275034,Tillman,34.2430852,-99.0801892,.
